movie_id,movie_title,imdb_character_name,words,gender,age
tt0112579,The Bridges of Madison County,betty,311,f,35
tt0112579,The Bridges of Madison County,carolyn johnson,873,f,-1
tt0112579,The Bridges of Madison County,eleanor,138,f,-1
tt0112579,The Bridges of Madison County,francesca johns,2251,f,46
tt0112579,The Bridges of Madison County,madge,190,f,46
tt0112579,The Bridges of Madison County,michael johnson,723,m,38
tt0112579,The Bridges of Madison County,robert kincaid,1908,m,65
tt0179626,15 Minutes,bobby korfin,328,m,-1
tt0179626,15 Minutes,daphne handlova,409,f,28
tt0179626,15 Minutes,deputy chief fi,347,m,-1
tt0179626,15 Minutes,detective eddie,2020,m,58
tt0179626,15 Minutes,detective leon ,366,m,53
tt0179626,15 Minutes,detective tommy,160,m,25
tt0179626,15 Minutes,emil slovak,1337,m,39
tt0179626,15 Minutes,fire marshal jo,1683,m,33
tt0179626,15 Minutes,honey the hooke,148,f,-1
tt0179626,15 Minutes,nicolette karas,801,f,34
tt0179626,15 Minutes,oleg razgul,608,m,34
tt0179626,15 Minutes,robert hawkins,596,m,46
tt0179626,15 Minutes,rose hearn,166,f,26
tt0179626,15 Minutes,stephen geller,139,m,25
tt0062622,2001: A Space Odyssey,dr. andrei smys,225,m,42
tt0062622,2001: A Space Odyssey,dr. bill michae,151,m,47
tt0062622,2001: A Space Odyssey,dr. dave bowman,780,m,32
tt0062622,2001: A Space Odyssey,dr. frank poole,752,m,31
tt0062622,2001: A Space Odyssey,dr. heywood r. ,942,m,46
tt0062622,2001: A Space Odyssey,dr. ralph halvo,918,m,59
tt0062622,2001: A Space Odyssey,elena,155,f,37
tt0062622,2001: A Space Odyssey,miller,141,m,40
tt0062622,2001: A Space Odyssey,pilot,337,m,-1
tt0307901,25th Hour,agent brzowski,277,m,-1
tt0307901,25th Hour,frank slaughter,1495,m,32
tt0307901,25th Hour,gedny,179,m,-1
tt0307901,25th Hour,jacob elinsky,1292,m,35
tt0307901,25th Hour,kostya novotny,790,m,35
tt0307901,25th Hour,lichter,215,m,-1
tt0307901,25th Hour,louis volandes,115,m,39
tt0307901,25th Hour,marcuse,126,m,26
tt0307901,25th Hour,mary d'annunzio,256,f,20
tt0307901,25th Hour,monty brogan,3440,m,33
tt0307901,25th Hour,naturelle rivie,817,f,23
tt0307901,25th Hour,senka valghobek,186,m,41
tt0307901,25th Hour,simon,209,m,32
tt0307901,25th Hour,trey,116,m,-1
tt0307901,25th Hour,uncle nikolai,619,m,44
tt1019452,A Serious Man,clive park,273,m,-1
tt1019452,A Serious Man,danny gopnik,647,m,15
tt1019452,A Serious Man,don,739,m,-1
tt1019452,A Serious Man,gar,140,m,-1
tt1019452,A Serious Man,hebrew school t,146,m,-1
tt1019452,A Serious Man,judith gopnik,227,f,-1
tt1019452,A Serious Man,larry gopnik,5071,m,41
tt1019452,A Serious Man,mimi,219,f,-1
tt1019452,A Serious Man,mitch brandt,309,m,-1
tt1019452,A Serious Man,reb groshkover,111,m,-1
tt1019452,A Serious Man,sarah,290,f,-1
tt1019452,A Serious Man,shtetl wife,130,f,-1
tt1019452,A Serious Man,sy ableman,370,m,53
tt1019452,A Serious Man,uncle arthur,357,m,53
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,buckaroo banzai,1723,m,37
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,general catburd,334,m,54
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,highway patrolm,126,m,36
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,john emdall,226,f,46
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,lord john whorf,330,m,39
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,new jersey,132,m,32
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,penny priddy,653,f,30
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,perfect tommy,464,m,28
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,president widma,303,m,49
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,professor hikit,301,m,53
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,rawhide,493,m,25
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,reno nevada,360,m,40
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,secretary of de,687,m,48
tt0094602,Above the Law,"alex, the pimp",156,m,-1
tt0094602,Above the Law,delores 'jacks',686,f,39
tt0094602,Above the Law,detective lukic,199,m,-1
tt0094602,Above the Law,kurt zagon,914,m,60
tt0094602,Above the Law,lieutenant stro,169,m,-1
tt0094602,Above the Law,machete man,113,m,-1
tt0094602,Above the Law,nelson fox,667,m,46
tt0094602,Above the Law,nico toscani,3835,m,36
tt0094602,Above the Law,rosa toscani,168,f,66
tt0094602,Above the Law,sara toscani,198,f,30
tt0094602,Above the Law,tony salvano,203,m,39
tt0094602,Above the Law,uncle branca,271,m,-1
tt0094602,Above the Law,watanabe,265,f,-1
tt0118571,Air Force One,agent gibbs,299,m,42
tt0118571,Air Force One,alice marshall,371,f,13
tt0118571,Air Force One,boris bazylev,115,m,42
tt0118571,Air Force One,chief of staff ,319,m,48
tt0118571,Air Force One,defense secreta,210,m,61
tt0118571,Air Force One,f-15 leader col,293,m,38
tt0118571,Air Force One,general northwo,202,m,50
tt0118571,Air Force One,grace marshall,497,f,41
tt0118571,Air Force One,ivan korshunov,1075,m,39
tt0118571,Air Force One,major caldwell,319,m,47
tt0118571,Air Force One,nsa advisor jac,113,m,49
tt0118571,Air Force One,president james,1491,m,55
tt0118571,Air Force One,press secretary,235,f,42
tt0118571,Air Force One,reporter #1,123,m,42
tt0118571,Air Force One,vice president ,389,f,50
tt0118571,Air Force One,white house aid,120,m,34
tt0080339,Airplane!,air controller ,162,m,63
tt0080339,Airplane!,bernice,124,f,-1
tt0080339,Airplane!,captain oveur,324,m,54
tt0080339,Airplane!,dr. rumack,806,m,54
tt0080339,Airplane!,elaine,904,f,25
tt0080339,Airplane!,kramer,1191,m,61
tt0080339,Airplane!,milton,217,m,-1
tt0080339,Airplane!,murdock,268,m,33
tt0080339,Airplane!,randy,472,f,24
tt0080339,Airplane!,ted striker,1016,m,33
tt0083530,Airplane II: The Sequel,captain oveur,346,m,56
tt0083530,Airplane II: The Sequel,dr. rumack,133,m,56
tt0083530,Airplane II: The Sequel,elaine,930,f,27
tt0083530,Airplane II: The Sequel,hallick,170,m,-1
tt0083530,Airplane II: The Sequel,jacobs,139,m,35
tt0083530,Airplane II: The Sequel,jimmy wilson,127,m,11
tt0083530,Airplane II: The Sequel,kramer,382,m,-1
tt0083530,Airplane II: The Sequel,kruger,276,m,51
tt0083530,Airplane II: The Sequel,mary,289,f,-1
tt0083530,Airplane II: The Sequel,simon,392,m,45
tt0083530,Airplane II: The Sequel,stella,363,f,-1
tt0083530,Airplane II: The Sequel,ted,1646,m,-1
tt0083530,Airplane II: The Sequel,testa,122,f,25
tt0083530,Airplane II: The Sequel,the commissione,203,m,67
tt0083530,Airplane II: The Sequel,the sarge,206,m,61
tt0083530,Airplane II: The Sequel,"voice of rok, t",118,m,36
tt0094631,Alien Nation,capt. warner,139,m,46
tt0094631,Alien Nation,cassandra,220,f,31
tt0094631,Alien Nation,computer operat,129,f,-1
tt0094631,Alien Nation,det. bill tuggl,149,m,39
tt0094631,Alien Nation,det. samuel 'ge,1551,m,36
tt0094631,Alien Nation,det. sgt. matth,2692,m,48
tt0094631,Alien Nation,fedorchuk,175,m,44
tt0094631,Alien Nation,mayor,144,m,-1
tt0094631,Alien Nation,o'neal,148,m,-1
tt0094631,Alien Nation,quint,130,m,-1
tt0094631,Alien Nation,william harcour,517,m,50
tt0094631,Alien Nation,winter,243,m,41
tt0248667,Ali,'smokin' joe fr,150,m,33
tt0248667,Ali,angelo dundee,318,m,55
tt0248667,Ali,belinda ali,566,f,27
tt0248667,Ali,bradley,128,m,51
tt0248667,Ali,chauncey eskrid,247,m,54
tt0248667,Ali,don king,398,m,44
tt0248667,Ali,drew 'bundini' ,708,m,34
tt0248667,Ali,elijah muhammad,206,m,64
tt0248667,Ali,george foreman,162,m,-1
tt0248667,Ali,howard bingham,188,m,36
tt0248667,Ali,howard cosell,575,m,63
tt0248667,Ali,jabir herbert m,232,m,47
tt0248667,Ali,joe smiley,128,m,44
tt0248667,Ali,malcolm x,662,m,44
tt0248667,Ali,muhammad ali,4042,m,33
tt0248667,Ali,sonji roi,291,f,30
tt0086879,Amadeus,antonio salieri,1919,m,45
tt0086879,Amadeus,archbishop coll,150,m,52
tt0086879,Amadeus,baron van swiet,246,m,61
tt0086879,Amadeus,constanze mozar,1406,f,22
tt0086879,Amadeus,count orsini-ro,303,m,54
tt0086879,Amadeus,count von strac,155,m,52
tt0086879,Amadeus,emanuel schikan,702,m,35
tt0086879,Amadeus,emperor joseph ,946,m,38
tt0086879,Amadeus,father vogler,309,m,31
tt0086879,Amadeus,frau schlumberg,107,f,-1
tt0086879,Amadeus,frau weber,175,f,-1
tt0086879,Amadeus,katerina cavali,271,f,31
tt0086879,Amadeus,leopold mozart,646,m,61
tt0086879,Amadeus,lorl,307,f,18
tt0086879,Amadeus,michael schlumb,410,m,52
tt0086879,Amadeus,papageno in 'th,154,m,-1
tt0086879,Amadeus,parody commenda,107,m,50
tt0086879,Amadeus,salieri's valet,149,m,36
tt0086879,Amadeus,wolfgang amadeu,3826,m,31
tt0765429,American Gangster,2-star general,144,m,-1
tt0765429,American Gangster,ana,220,f,-1
tt0765429,American Gangster,charlie william,115,m,60
tt0765429,American Gangster,detective trupo,377,m,39
tt0765429,American Gangster,frank lucas,2480,m,53
tt0765429,American Gangster,freddie spearma,140,m,48
tt0765429,American Gangster,huey lucas,529,m,30
tt0765429,American Gangster,jackie,132,f,-1
